98509 1567094469  0.001660296223092738 6963.891 -1 436169 4.42
98516 1567094508  0.001658886803548517 6957.980 -1 436208 4.42
98569 1567094821  0.001651513117149548 6927.052 -1 436521 4.42
98572 1567094824  0.001649501879880925 6918.616 -2 436524 4.42
98644 1567095215  0.001660705510577428 6965.608 -1 436915 4.42
98765 1567095764  0.001664603829622597 6981.959 -1 437464 4.42
98768 1567095772  0.001666619534576373 6990.413 -1 437472 4.42
98810 1567095917  0.001672237133049397 7013.976 -1 437617 4.42
98834 1567096022  0.001671876734761852 7012.464 -2 437722 4.42
98933 1567096611   0.00165651449634073 6948.029 -1 438311 4.43
98958 1567096716   0.00165422378726099 6938.421 -1 438416 4.43
99226 1567098143  0.001662528209832446 6973.253 -1 439843 4.43
99312 1567098575  0.001639014871405797 6874.629 -2 440275 4.43
99327 1567098640  0.001632909325904333 6849.020 -1 440340 4.43
99406 1567099107  0.001627790455343177 6827.550 -1 440807 4.43
99470 1567099463  0.001620300226908787 6796.133 -1 441163 4.43
99537 1567099785  0.001619039779339219 6790.847 -1 441485 4.43
99617 1567100155  0.001615494429298953 6775.976 -1 441855 4.43
99623 1567100179  0.001623125412127975 6807.983 -4 441879 4.43
99652 1567100294   0.00162952083558775 6834.808 -1 441994 4.43
99744 1567100720  0.001631223715232421 6841.950 -1 442420 4.43
99823 1567101090   0.00163062107068468 6839.423 -1 442790 4.43
99827 1567101098  0.001631837207412224 6844.524 -1 442798 4.43
99835 1567101124  0.001636364235627261 6863.512 -1 442824 4.43
99969 1567101770  0.001655935868700394 6945.602 -1 443470 4.43
100015 1567101978  0.001663619426627415 6977.830 -2 443678 4.43
100131 1567102506  0.001681960655646152 7054.760 -1 444206 4.43
100201 1567102835  0.001682812006981147 7058.331 -1 444535 4.43
100229 1567102998  0.001685559889317601 7069.856 -1 444698 4.43
100292 1567103333  0.001682038015624795 7055.084 -1 445033 4.43
100352 1567103600  0.001684838810788398 7066.832 -1 445300 4.43
100378 1567103755  0.001684683582310552 7066.181 -1 445455 4.43
100399 1567103850  0.001696180843134007 7114.404 -2 445550 4.43
100501 1567104284  0.001706754408627242 7158.754 -1 445984 4.43
100585 1567104679  0.001703993754701031 7147.175 -1 446379 4.43
100673 1567105049  0.001725343346880181 7236.723 -1 446749 4.43
100686 1567105109  0.001721757657230484 7221.683 -1 446809 4.43
100712 1567105246  0.001721340876081738 7219.935 -1 446946 4.43
100720 1567105277  0.001723368791401874 7228.441 -1 446977 4.43
100728 1567105305  0.001726087881801632 7239.846 -1 447005 4.43
100810 1567105764  0.001734802248161827 7276.397 -1 447464 4.43
100969 1567106510  0.001748654975204241 7334.500 -1 448210 4.43
100978 1567106535  0.001749587157765962 7338.410 -1 448235 4.43
101013 1567106741  0.001744555634114761 7317.306 -2 448441 4.43
101082 1567107085   0.00174779538021957 7330.895 -1 448785 4.43
101127 1567107357  0.001739316585927627 7295.332 -1 449057 4.44
101198 1567107650   0.00174476965792451 7318.204 -1 449350 4.44
101270 1567108008  0.001747855047008459 7331.145 -1 449708 4.44
101359 1567108399   0.00176486955450152 7402.510 -1 450099 4.44
101405 1567108635   0.00175443133455323 7358.728 -1 450335 4.44
101423 1567108722  0.001761735981597836 7389.367 -1 450422 4.44
101477 1567108995  0.001760766589975858 7385.301 -1 450695 4.44
101510 1567109160  0.001755478023617026 7363.119 -6 450860 4.44
101517 1567109200  0.001755598412736512 7363.624 -2 450900 4.44
101548 1567109359  0.001759302410487252 7379.159 -2 451059 4.44
101616 1567109694  0.001768869452333078 7419.287 -1 451394 4.44
101771 1567110497  0.001766562422366678 7409.611 -1 452197 4.44
101779 1567110515  0.001767587025644212 7413.908 -1 452215 4.44
101825 1567110700  0.001778689403782552 7460.476 -1 452400 4.44
101852 1567110827  0.001773305073738752 7437.892 -1 452527 4.44
101862 1567110868  0.001774251432937817 7441.861 -1 452568 4.44
101892 1567111026  0.001777145927774577 7454.002 -2 452726 4.44
101957 1567111378  0.001765672957547332 7405.880 -1 453078 4.44
102061 1567111906   0.00177155022525328 7430.531 -1 453606 4.44
102204 1567112639  0.001774300622054339 7442.067 -2 454339 4.44
102353 1567113377   0.00176561206807366 7405.624 -2 455077 4.44
102365 1567113440  0.001766135854829696 7407.821 -1 455140 4.44
102379 1567113507  0.001761748105747791 7389.418 -1 455207 4.44
102428 1567113756    0.0017673673677561 7412.987 -1 455456 4.44
102468 1567113957   0.00176746498674381 7413.396 -11 455657 4.44
102543 1567114397  0.001754936476842711 7360.847 -1 456097 4.44
102701 1567115258  0.001738005837005153 7289.834 -1 456958 4.44
102735 1567115441  0.001727112667147927 7244.144 -1 457141 4.44
102809 1567115786  0.001729808527207736 7255.451 -1 457486 4.44
102811 1567115790   0.00172964490219925 7254.765 -2 457490 4.44
102837 1567115905  0.001729761774046421 7255.255 -1 457605 4.44
102875 1567116100  0.001727124319428421 7244.193 -1 457800 4.45
102988 1567116678  0.001716827132653746 7201.003 -1 458378 4.45
102998 1567116727  0.001726774819394136 7242.727 -1 458427 4.45
103027 1567116938  0.001716205610938296 7198.396 -1 458638 4.45
